Source,Target,Year,trade_value,ln_trade_value,Source Area,Target Area,Source Exchange Rate,Target Exchange Rate,Ex Rate Source / Target,Ex Rate Target / Source,Source Consumer Price Index,Target Consumer Price Index,exchange_rate ijt,Source GDP,Target GDP,level of output ijt
UKR,ARE,2013,0.001,-6.907755278982137,603550.0,98647.9,7.99,3.67,2.1771117166212535,0.45932415519399244,108.31,102.66,0.484603538369972,128.44,,
ZAF,ARE,2020,0.001,-6.907755278982137,1219090.0,98647.9,16.46,3.67,4.485013623978202,0.22296476306196839,164.04,112.14,0.32615605254757707,168.32,,
ZAF,DEU,2022,0.001,-6.907755278982137,,,16.36,0.95,17.221052631578946,0.05806845965770171,183.68,124.49,0.0856776823032103,187.83,128.7,5.046510706513705
ZAF,FRA,2022,0.001,-6.907755278982137,,,16.36,0.95,17.221052631578946,0.05806845965770171,183.68,118.26,0.09019122839444148,187.83,116.11,4.995037658032121
ZAF,GBR,2001,0.001,-6.907755278982137,1219090.0,243610.0,8.61,0.69,12.478260869565217,0.08013937282229965,63.32,82.72,0.06134459728128643,52.23,80.15,4.169778460751885
ZAF,ITA,2022,0.001,-6.907755278982137,,,16.36,0.95,17.221052631578946,0.05806845965770171,183.68,121.77,0.08759148123451302,187.83,116.27,4.995726185552923
ZAF,MWI,2001,0.001,-6.907755278982137,1219090.0,118480.0,8.61,72.2,0.11925207756232686,8.385598141695704,63.32,39.7,13.37471219980282,52.23,34.25,3.7446718035782207
ZAF,TZA,2005,0.001,-6.907755278982137,1219090.0,947300.0,6.36,1128.93,0.005633653105152667,177.50471698113208,74.26,66.33,198.72607090334492,70.03,,
ZAF,USA,2019,0.001,-6.907755278982137,1219090.0,9831510.0,14.45,1.0,14.45,0.06920415224913495,158.94,117.24,0.09381873045443116,159.26,116.8,4.915500578611713
ZAF,VNM,2022,0.001,-6.907755278982137,,,16.36,23271.21,0.0007030145832554474,1422.445599022005,183.68,177.31,1473.548066258879,187.83,171.54,5.190176886993802
ARE,HKG,2020,0.002,-6.214608098422191,98647.9,1110.0,3.67,7.76,0.4729381443298969,2.114441416893733,112.14,134.99,1.756526116678741,,129.97,
BIH,NLD,2019,0.002,-6.214608098422191,51210.0,41540.0,1.75,0.89,1.9662921348314606,0.5085714285714286,104.9,115.91,0.46026350493609575,114.69,111.66,4.728845688129322
BRA,CHN,2019,0.002,-6.214608098422191,8515770.0,9600012.9,3.94,6.91,0.5701881331403762,1.7538071065989849,167.4,125.08,2.347196271543573,177.98,,
BRA,JPN,2020,0.002,-6.214608098422191,8515770.0,377974.0,5.16,106.77,0.04832818207361619,20.691860465116278,172.77,105.46,33.89847081887104,189.5,102.97,4.939413354095571
DNK,CYP,2011,0.002,-6.214608098422191,42920.0,9250.0,5.37,0.72,7.458333333333334,0.1340782122905028,102.76,103.29,0.1333902323068261,100.64,101.62,4.616395079558858
EUN,GIB,2017,0.002,-6.214608098422191,,10.0,,0.78,,inf,,,,,,
EUN,IND,2015,0.002,-6.214608098422191,,3287260.0,,64.15,,inf,,146.79,,,132.95,
FIN,CHN,2016,0.002,-6.214608098422191,338450.0,9600010.5,0.9,6.64,0.13554216867469882,7.377777777777777,109.18,117.22,6.871743540161899,112.03,,
FRA,BRA,2018,0.002,-6.214608098422191,549087.0,8515770.0,0.85,3.65,0.2328767123287671,4.294117647058823,108.84,161.37,2.896274181730696,106.83,170.76,4.905748923923779
GTM,ESP,2008,0.002,-6.214608098422191,108890.0,505370.0,7.56,0.68,11.117647058823527,0.08994708994708996,94.53,98.52,0.08630428758321573,,99.7,
GTM,MEX,2002,0.002,-6.214608098422191,108890.0,1964380.0,7.82,9.66,0.8095238095238095,1.2352941176470589,60.16,70.73,1.0506898645220846,,64.76,
HND,UNS,1999,0.002,-6.214608098422191,112490.0,,14.21,,inf,,43.33,,,,,
IND,PAK,2018,0.002,-6.214608098422191,3287260.0,796100.0,68.39,121.82,0.5614020686258414,1.7812545693814885,165.45,164.88,1.7874124727326983,149.51,155.94,5.028417299053645
IRN,KAZ,2003,0.002,-6.214608098422191,1745150.0,2724902.0,8193.89,149.58,54.77931541649952,0.018255065664781932,37.96,53.45,0.012964682743407336,,34.37,
MKD,SER,2004,0.002,-6.214608098422191,25710.0,,49.41,,inf,,86.35,,,81.76,,
NAM,ZAF,2018,0.002,-6.214608098422191,824290.0,1219090.0,13.23,13.23,1.0,1.0,152.3,152.65,0.9977071732721913,169.01,152.2,5.077576665098861
NLD,IND,2015,0.002,-6.214608098422191,41540.0,3287260.0,0.9,64.15,0.01402961808261886,71.27777777777779,109.18,146.79,53.015244756303424,104.0,132.95,4.767182008415201
NLD,MLT,2016,0.002,-6.214608098422191,41540.0,320.0,0.9,0.9,1.0,1.0,109.53,108.86,1.006154694102517,104.47,114.93,4.696611598115043
PER,PAN,2021,0.002,-6.214608098422191,,,3.88,1.0,3.88,0.2577319587628866,138.58,122.13,0.2924465311173408,143.95,132.94,4.92968195783581
SVN,HRV,2020,0.002,-6.214608098422191,20480.0,88070.0,0.88,6.61,0.13313161875945537,7.511363636363637,110.99,109.99,7.579654968633512,113.27,110.34,4.716670428528453
THA,GBR,2017,0.002,-6.214608098422191,513120.0,243610.0,33.94,0.78,43.51282051282051,0.022981732469063054,111.29,114.94,0.022251931498886615,118.2,112.0,4.745438488133546
THA,HKG,2017,0.002,-6.214608098422191,513120.0,1110.0,33.94,7.79,4.356867779204108,0.22952268709487333,111.29,127.8,0.19987151679803175,118.2,122.09,4.788568291326381
THA,NZL,2014,0.002,-6.214608098422191,513120.0,267710.0,32.48,1.21,26.84297520661157,0.03725369458128079,111.35,107.63,0.03854128859635432,111.08,108.39,4.697993248133129
THA,OAS,2016,0.002,-6.214608098422191,513120.0,,35.3,,inf,,110.55,,,117.69,,
TUR,HUN,2022,0.002,-6.214608098422191,,,,372.6,,,542.44,151.41,,,173.33,
TUR,KEN,2021,0.002,-6.214608098422191,,,8.85,109.64,0.08071871579715433,12.388700564971751,314.81,212.47,18.355941191032883,337.1,207.44,5.577610881735212
TZA,ARE,2016,0.002,-6.214608098422191,947300.0,98647.9,2177.09,3.67,593.2125340599456,0.001685736464730443,166.2,111.12,0.002521322898111947,,,
ZAF,PRT,2019,0.002,-6.214608098422191,1219090.0,92230.0,14.45,0.89,16.235955056179773,0.06159169550173011,158.94,110.62,0.08849560733181146,159.26,111.63,4.89286395892797
ZAF,USA,2021,0.002,-6.214608098422191,,,14.78,1.0,14.78,0.06765899864682003,171.6,124.27,0.09342789223299522,178.79,123.64,5.001793025013822
ZWE,CHN,2010,0.002,-6.214608098422191,390760.0,9600000.7,,6.77,,,100.0,100.0,,100.0,,
ZWE,ZAF,2016,0.002,-6.214608098422191,390760.0,1219090.0,,14.71,,,104.57,138.85,,119.98,139.09,4.8612231339219925
ZWE,ZMB,2016,0.002,-6.214608098422191,390760.0,752610.0,,10.31,,,104.57,169.78,,119.98,,
BRA,LBR,2018,0.003,-5.809142990314028,8515770.0,111370.0,3.65,144.06,0.02533666527835624,39.468493150684935,161.37,223.13,28.544035941944287,170.76,127.1,4.992616620042584
BRA,SGP,2019,0.003,-5.809142990314028,8515770.0,726.0,3.94,1.36,2.8970588235294117,0.3451776649746193,167.4,114.41,0.5050497431758699,177.98,110.82,4.9447892239339595
CIV,UNS,2012,0.003,-5.809142990314028,322460.0,,510.56,,inf,,106.28,,,105.21,,
ESP,GIB,2017,0.003,-5.809142990314028,505935.23,10.0,0.89,0.78,1.141025641025641,0.8764044943820225,108.38,,inf,102.22,,
EUN,IND,2016,0.003,-5.809142990314028,,3287260.0,,67.2,,inf,,154.05,,,136.3,
GBR,BGR,2012,0.003,-5.809142990314028,243610.0,111000.0,0.63,1.52,0.4144736842105263,2.4126984126984126,106.53,107.3,2.395384547108685,103.63,107.29,4.6581811559223905
IND,GAB,2020,0.003,-5.809142990314028,3287260.0,267670.0,74.1,575.59,0.12873746937924563,7.7677462887989215,182.99,124.29,11.436317430101495,156.46,91.08,4.782269313726236
IND,IRL,2013,0.003,-5.809142990314028,3287260.0,70280.0,58.6,0.75,78.13333333333334,0.012798634812286689,131.18,104.83,0.016015691258950377,124.39,105.14,4.739357293306588
KEN,CHN,2015,0.003,-5.809142990314028,580370.0,9600007.4,98.18,6.23,15.759229534510434,0.06345487879405175,150.19,114.92,0.08292976197423103,152.14,,
MEX,COL,2013,0.003,-5.809142990314028,1964380.0,1141749.0,12.77,1868.9,0.006832896356145326,146.35082223962414,111.76,108.84,150.27717652977208,111.83,112.34,4.719254924072192
MWI,ZAF,2019,0.003,-5.809142990314028,118480.0,1219090.0,745.54,14.45,51.59446366782007,0.019381924511092632,418.34,158.94,0.05101443500673519,389.29,159.26,5.51743132699252
NLD,CYP,2017,0.003,-5.809142990314028,41540.0,9251.0,0.89,0.89,1.0,1.0,111.04,100.81,1.1014780279734153,105.79,100.68,4.636701583632899
NLD,IND,2016,0.003,-5.809142990314028,41540.0,3287260.0,0.9,67.2,0.013392857142857142,74.66666666666667,109.53,154.05,53.088218111002924,104.47,136.3,4.781879143775952
POL,PRT,2022,0.003,-5.809142990314028,,,4.46,0.95,4.6947368421052635,0.21300448430493274,141.81,120.78,0.2500924484126719,139.47,120.78,4.865910116625178
POL,SWE,2004,0.003,-5.809142990314028,312690.0,447420.11,3.66,7.35,0.4979591836734694,2.0081967213114753,85.03,92.29,1.8502217706481172,84.39,88.98,4.4619302682738855
PRT,TUR,2008,0.003,-5.809142990314028,92090.0,785350.0,0.68,1.3,0.5230769230769231,1.9117647058823528,99.45,86.69,2.193159533971623,98.28,88.62,4.536089056712161
ROM,EST,2020,0.003,-5.809142990314028,,45340.0,,0.88,,inf,,121.6,,,135.28,
THA,KOR,2015,0.003,-5.809142990314028,513120.0,100295.0,34.25,1130.95,0.0302842742826827,33.02043795620438,110.34,109.83,33.17376968121271,113.83,107.86,4.707770098623103
THA,SGP,2015,0.003,-5.809142990314028,513120.0,719.0,34.25,1.37,24.999999999999996,0.04,110.34,113.22,0.038982511923688394,113.83,104.06,4.689836881599641
ZAF,CAN,2002,0.003,-5.809142990314028,1219090.0,9879750.0,10.54,1.57,6.713375796178343,0.1489563567362429,69.33,85.85,0.1202928854108762,58.78,,
ZAF,ZMB,2001,0.003,-5.809142990314028,1219090.0,752610.0,8.61,3.61,2.3850415512465375,0.41927990708478513,63.32,28.93,0.9176911066923124,52.23,,
BRA,MLT,2022,0.004,-5.521460917862246,,,5.16,0.95,5.431578947368421,0.18410852713178294,204.48,123.02,0.30601944096819195,228.55,133.73,5.163788923331229
BRA,VNM,2022,0.004,-5.521460917862246,,,5.16,23271.21,0.00022173320596565458,4509.924418604651,204.48,177.31,5201.000198050188,228.55,171.54,5.288285740170014
CHE,AUS,2005,0.004,-5.521460917862246,41290.0,7741220.0,1.25,1.31,0.9541984732824427,1.048,95.71,86.34,1.1617336113041463,93.53,80.99,4.46630396535368
CHE,IND,2020,0.004,-5.521460917862246,41290.39,3287260.0,0.94,74.1,0.012685560053981106,78.82978723404256,98.82,182.99,42.57041135836977,97.03,156.46,4.813910297647071
CHE,JPN,2013,0.004,-5.521460917862246,41290.0,377962.0,0.93,97.6,0.009528688524590165,104.94623655913978,99.32,100.02,104.21175979857792,99.96,97.29,4.591233157477044
EUN,IND,2011,0.004,-5.521460917862246,,3287260.0,,46.67,,inf,,108.91,,,108.86,
FIN,AUS,2018,0.004,-5.521460917862246,338450.0,7741220.0,0.85,1.34,0.6343283582089552,1.5764705882352943,111.19,117.9,1.4867494885995112,115.2,112.28,4.733832749877736
JAM,TTO,2014,0.004,-5.521460917862246,10990.0,5130.0,110.93,6.41,17.305772230889236,0.057784188226809696,136.09,127.68,0.061590305261486,130.65,,
LKA,BHR,2004,0.004,-5.521460917862246,65610.0,730.0,101.19,0.38,266.2894736842105,0.00375531178970254,52.18,85.29,0.0022974811723142047,,,
NAM,ZAF,2013,0.004,-5.521460917862246,824290.0,1219090.0,9.75,9.66,1.0093167701863355,0.9907692307692307,118.34,117.43,0.9984469962465363,121.31,116.94,4.780005117765176
NLD,IND,2011,0.004,-5.521460917862246,41540.0,3287260.0,0.72,46.67,0.01542746946646668,64.81944444444444,102.34,108.91,60.909208928881135,100.19,108.86,4.6485655181386125
NLD,IND,2019,0.004,-5.521460917862246,41540.0,3287260.0,0.89,70.42,0.012638454984379438,79.12359550561798,115.91,171.62,53.43908609169199,111.66,151.15,4.866865630553841
NZL,MYS,2002,0.004,-5.521460917862246,267710.0,330800.0,2.16,3.8,0.568421052631579,1.759259259259259,81.14,83.14,1.7169388536961305,80.63,,
POL,EST,2020,0.004,-5.521460917862246,312710.0,45340.0,3.9,0.88,4.431818181818182,0.22564102564102564,117.96,121.6,0.21888663967611335,119.09,135.28,4.843613107185115
THA,CAN,2012,0.004,-5.521460917862246,513120.0,9879750.0,31.08,1.0,31.08,0.032175032175032175,106.94,104.47,0.03293575132380531,106.39,,
THA,LAO,2007,0.004,-5.521460917862246,513120.0,236800.0,34.52,9602.73,0.003594811058938448,278.1787369640788,92.62,87.54,294.32162003213364,91.88,,
TUR,CHL,2022,0.004,-5.521460917862246,,,,873.31,,,542.44,158.63,,,168.59,
TUR,KHM,2021,0.004,-5.521460917862246,,,8.85,4098.72,0.0021592106804075415,463.1322033898306,314.81,137.85,1057.661581060229,337.1,126.39,5.329875993449525
TUR,MLT,2022,0.004,-5.521460917862246,,,,0.95,,,542.44,123.02,,,133.73,
BRA,PRT,2020,0.005,-5.298317366548036,8515770.0,92230.0,5.16,0.88,5.863636363636364,0.17054263565891473,172.77,110.61,0.2663832489177353,189.5,113.87,4.989723235672497
CHE,AUS,2007,0.005,-5.298317366548036,41290.0,7741220.0,1.2,1.2,1.0,1.0,97.43,91.49,1.0649251284293366,97.82,88.81,4.534814155690812
CHE,DEU,2017,0.005,-5.298317366548036,41290.39,357580.0,0.98,0.89,1.101123595505618,0.9081632653061225,98.27,109.35,0.8161426985060143,97.12,111.63,4.6455685791689145
CHE,ITA,2018,0.005,-5.298317366548036,41290.39,302069.0,0.98,0.85,1.1529411764705881,0.8673469387755102,99.19,109.95,0.7824660559994803,97.86,109.44,4.639457169867608
CHE,QAT,2020,0.005,-5.298317366548036,41290.39,11490.0,0.94,3.64,0.2582417582417582,3.8723404255319154,98.82,112.45,3.4029762636822043,97.03,,
CHN,UNS,1997,0.005,-5.298317366548036,9600000.0,,8.29,,inf,,82.47,,,,,
CIV,UNS,2015,0.005,-5.298317366548036,322460.0,,591.21,,inf,,110.88,,,116.49,,
CZE,DEU,2009,0.005,-5.298317366548036,78870.0,357120.0,19.06,0.72,26.47222222222222,0.03777544596012592,98.55,98.91,0.037637955710953484,101.45,99.36,4.6091578422284964
KOR,DNK,2018,0.005,-5.298317366548036,100370.0,42920.0,1100.16,6.31,174.35182250396198,0.005735529377545083,114.72,109.52,0.0060078518096418196,112.99,107.79,4.703742104507346
NLD,IND,2012,0.005,-5.298317366548036,41540.0,3287260.0,0.78,53.44,0.014595808383233533,68.51282051282051,104.85,119.24,60.244626222486,101.64,116.73,4.690650367058268
POL,CYP,2004,0.005,-5.298317366548036,312690.0,9250.0,3.66,0.8,4.575,0.2185792349726776,85.03,86.55,0.21474052397142432,84.39,85.35,4.441104680205163
POL,DEU,2016,0.005,-5.298317366548036,312680.0,357580.0,3.94,0.9,4.377777777777777,0.2284263959390863,107.41,107.73,0.22774788070005808,107.62,109.97,4.689407052692058
POL,IRL,2016,0.005,-5.298317366548036,312680.0,70280.0,3.94,0.9,4.377777777777777,0.2284263959390863,107.41,104.72,0.2342941098913031,107.62,114.85,4.711116716598191
POL,ROM,2017,0.005,-5.298317366548036,312680.0,,3.78,,inf,,109.64,,,109.52,,
ROM,DNK,2020,0.005,-5.298317366548036,,42920.0,,6.54,,inf,,110.81,,,111.76,
TUR,MUS,2022,0.005,-5.298317366548036,,,,44.18,,,542.44,153.57,,,,
ZAF,KEN,2010,0.005,-5.298317366548036,1219090.0,580370.0,7.32,79.23,0.09238924649753881,10.823770491803279,100.0,100.0,10.823770491803279,100.0,100.0,4.605170185988092
ZAF,MYS,2012,0.005,-5.298317366548036,1219090.0,330800.0,8.21,3.09,2.6569579288025893,0.37637028014616314,111.01,104.89,0.39833029649180635,110.48,,
BRA,CHN,2015,0.006,-5.115995809754082,8515770.0,9600007.4,3.33,6.23,0.5345104333868379,1.870870870870871,138.39,114.92,2.2529570120067857,145.82,,
BRA,CYM,2022,0.006,-5.115995809754082,,,5.16,0.83,6.216867469879518,0.16085271317829455,204.48,,,228.55,,
BRA,PRY,2020,0.006,-5.115995809754082,8515770.0,406752.0,5.16,6771.1,0.000762062294161953,1312.2286821705427,172.77,146.36,1549.0144125348772,189.5,137.21,5.082950811727782
DNK,IRL,2009,0.006,-5.115995809754082,42920.0,70280.0,5.36,0.72,7.4444444444444455,0.13432835820895522,97.74,100.93,0.13008276757498544,96.88,102.98,4.6040039469314165
EUN,SGP,2022,0.006,-5.115995809754082,,,,1.38,,inf,,123.98,,,,
FIN,SGP,2020,0.006,-5.115995809754082,338460.0,728.0,0.88,1.38,0.6376811594202899,1.5681818181818181,112.66,114.2,1.5470347078490685,118.84,107.53,4.727773964498421
FIN,SGP,2022,0.006,-5.115995809754082,,,0.95,1.38,0.6884057971014493,1.4526315789473683,123.33,123.98,1.4450157495691154,126.49,,
LKA,BGD,2010,0.006,-5.115995809754082,65610.0,148460.0,113.06,69.65,1.623259152907394,0.6160445781001239,100.0,100.0,0.6160445781001239,100.0,100.0,4.605170185988092
LUX,DEU,2018,0.006,-5.115995809754082,2590.0,357580.0,0.85,0.85,1.0,1.0,113.12,111.25,1.016808988764045,118.42,113.87,4.754647536963072
LUX,FRA,2012,0.006,-5.115995809754082,2590.0,549087.0,0.78,0.78,1.0,1.0,106.16,104.11,1.0196907117471905,106.83,102.12,4.64869368916554
MEX,UNS,1997,0.006,-5.115995809754082,1964380.0,,7.92,,inf,,42.78,,,38.86,,
MNT,HRV,2019,0.006,-5.115995809754082,,88073.0,,6.62,,inf,,109.82,,,109.53,
NLD,LTU,2017,0.006,-5.115995809754082,41540.0,65286.0,0.89,0.89,1.0,1.0,111.04,112.64,0.9857954545454546,105.79,117.11,4.7122848305263645
PER,CHE,2021,0.006,-5.115995809754082,,,3.88,0.91,4.263736263736264,0.23453608247422683,138.58,99.4,0.3269819950631625,143.95,98.06,4.777522776640636
POL,IRL,2019,0.006,-5.115995809754082,312690.0,70280.0,3.84,0.89,4.314606741573034,0.23177083333333334,114.11,106.58,0.24814571018640147,114.23,121.55,4.769269830253995
POL,NLD,2014,0.006,-5.115995809754082,312680.0,41540.0,3.15,0.75,4.2,0.2380952380952381,109.08,108.53,0.23930183885956485,106.13,103.2,4.650666805410596
TUR,IND,2022,0.006,-5.115995809754082,,,,78.6,,,542.44,,,,186.0,
TUR,ITA,2021,0.006,-5.115995809754082,,,8.85,0.85,10.411764705882353,0.096045197740113,314.81,112.54,0.26866881731442127,337.1,112.87,5.273308168103775
ARG,DEU,2000,0.007,-4.961845129926823,2780400.0,357030.0,1.0,1.08,0.9259259259259258,1.08,,85.7,,,89.57,
ARG,DEU,2004,0.007,-4.961845129926823,2780400.0,357050.0,2.92,0.8,3.65,0.27397260273972607,,91.05,,40.35,94.24,4.121718057309617
BWA,NAM,2016,0.007,-4.961845129926823,581730.0,824290.0,10.9,14.71,0.7409925220938137,1.3495412844036698,136.62,137.58,1.340124511376867,149.9,147.24,5.001016156809686
CRI,UNS,1999,0.007,-4.961845129926823,51100.0,,285.68,,inf,,33.67,,,32.9,,
CZE,SWE,2020,0.007,-4.961845129926823,78871.01,528860.704,23.21,9.21,2.520086862106406,0.3968117190866006,120.16,111.06,0.4293255552444258,121.31,118.9,4.788316028239782
DEU,ARM,2010,0.007,-4.961845129926823,357130.0,29740.0,0.75,373.66,0.0020071722956698603,498.21333333333337,100.0,100.0,498.21333333333337,100.0,,
