Source,Target,trade_value,Year,ln_trade_value,Source Area,Target Area,Source Exchange Rate,Target Exchange Rate,Ex Rate Source / Target,Ex Rate Target / Source,Source Consumer Price Index,Target Consumer Price Index,exchange_rate ijt,Source GDP,Target GDP,level of output ijt
ARE,SYR,126.022,2021,4.836456494884721,,,3.67,,,,112.13,,,,,
ARE,TZA,1.269,2020,0.23822918873225055,98647.9,947300.0,3.67,2294.15,0.001599721029575224,625.1089918256131,112.14,193.6,362.08534268246,,,
ARG,AGO,0.038,2007,-3.270169119255751,2780400.0,1246700.0,3.1,76.71,0.04041194107678269,24.745161290322578,,68.29,,58.2,79.21,4.21799395410679
ARG,ARE,6365.88,2002,8.758707757522997,2780400.0,98647.9,3.06,3.67,0.8337874659400545,1.1993464052287581,,,,,,
ARG,ARE,20175.727,2003,9.912235527185322,2780400.0,98647.9,2.9,3.67,0.7901907356948229,1.2655172413793103,,,,,,
ARG,ARE,19516.0,2004,9.878989920935728,2780400.0,98647.9,2.92,3.67,0.7956403269754768,1.2568493150684932,,,,40.35,,
ARG,ARE,55578.972,2005,10.925560207263624,2780400.0,98647.9,2.9,3.67,0.7901907356948229,1.2655172413793103,,,,44.51,,
ARG,ARE,17924.397,2006,9.793918024734614,2780400.0,98647.9,3.05,3.67,0.8310626702997275,1.2032786885245903,,,,50.63,,
ARG,ARE,34622.09,2007,10.452247196636502,2780400.0,98647.9,3.1,3.67,0.8446866485013624,1.1838709677419355,,86.95,,58.2,,
ARG,ARE,57018.74,2008,10.951135264712864,2780400.0,98647.9,3.14,3.67,0.8555858310626704,1.1687898089171973,,97.61,,71.68,,
ARG,ARE,15380.933,2013,9.640883904418658,2780400.0,98647.9,5.46,3.67,1.4877384196185286,0.6721611721611721,,102.66,,187.54,,
ARG,AUT,10.943,2010,2.392699982436306,2780400.0,83879.0,3.9,0.75,5.2,0.19230769230769232,,100.0,,100.0,100.0,4.605170185988092
ARG,BEL,3684.168,1999,8.211799998941293,2780400.0,33120.0,1.0,0.94,1.0638297872340425,0.94,,79.4,,,82.02,
ARG,BEL,3012.453,2000,8.010509976017453,2780400.0,30530.0,1.0,1.08,0.9259259259259258,1.08,,81.42,,,83.67,
ARG,BEL,4077.145,2001,8.313152267553512,2780400.0,30530.0,1.0,1.12,0.8928571428571428,1.12,,83.43,,,85.33,
ARG,BEL,2731.286,2002,7.912527839535066,2780400.0,30530.0,3.06,1.06,2.8867924528301887,0.3464052287581699,,84.8,,,86.73,
ARG,BEL,1748.533,2003,7.46653242964532,2780400.0,30530.0,2.9,0.88,3.2954545454545454,0.30344827586206896,,86.15,,,88.33,
ARG,BEL,581.706,2004,6.365965165458673,2780400.0,30530.0,2.92,0.8,3.65,0.27397260273972607,,87.96,,40.35,90.02,4.098811631290372
ARG,BEL,725.716,2005,6.587158753719149,2780400.0,30530.0,2.9,0.8,3.6249999999999996,0.27586206896551724,,90.41,,44.51,91.9,4.1582074561947024
ARG,BEL,934.424,2006,6.839930296675617,2780400.0,30530.0,3.05,0.8,3.8124999999999996,0.26229508196721313,,92.03,,50.63,93.98,4.233813139828244
ARG,BEL,15941.829,2007,9.676701688547201,2780400.0,30530.0,3.1,0.73,4.2465753424657535,0.23548387096774193,,93.7,,58.2,95.79,4.313021825066096
ARG,BEL,216.065,2008,5.375579288340966,2780400.0,30530.0,3.14,0.68,4.617647058823529,0.21656050955414013,,97.91,,71.68,97.62,4.426647079562838
ARG,BEL,0.08,2009,-2.5257286443082556,2780400.0,30530.0,3.71,0.72,5.152777777777778,0.1940700808625337,,97.86,,82.7,98.14,4.500807316345702
ARG,BEL,0.075,2010,-2.5902671654458267,2780400.0,30530.0,3.9,0.75,5.2,0.19230769230769232,,100.0,,100.0,100.0,4.605170185988092
ARG,BEL,0.051,2011,-2.9759296462578115,2780400.0,30530.0,4.11,0.72,5.708333333333334,0.1751824817518248,,103.53,,123.7,101.81,4.720483805258773
ARG,BEL,132.121,2012,4.883718169370724,2780400.0,30530.0,4.54,0.78,5.82051282051282,0.17180616740088106,,106.47,,151.31,103.8,4.830898341597633
ARG,BEL,0.012,2013,-4.422848629194137,2780400.0,30530.0,5.46,0.75,7.28,0.13736263736263737,,107.66,,187.54,105.12,4.9445473553638895
ARG,BEL,0.039,2016,-3.2441936328524905,2780400.0,30530.0,14.76,0.9,16.4,0.06097560975609757,,110.77,,469.96,109.63,5.4248793221929095
ARG,BEL,0.063,2017,-2.7646205525906042,2780400.0,30530.0,16.56,0.89,18.606741573033705,0.05374396135265701,,113.13,,592.18,111.64,5.549545025695558
ARG,BGD,6975.175,2004,8.850112695980563,2780400.0,148460.0,2.92,59.51,0.04906738363300286,20.38013698630137,,64.6,,40.35,68.74,3.9639613330688226
ARG,BGD,15964.654,2005,9.678132432505638,2780400.0,148460.0,2.9,64.33,0.04508005596144878,22.182758620689654,,69.15,,44.51,71.9,4.035495073877382
ARG,BGD,37330.715,2006,10.527571725221051,2780400.0,148460.0,3.05,68.93,0.04424778761061946,22.600000000000005,,73.83,,50.63,76.12,4.128427664204883
ARG,BGD,40824.578,2007,10.617039580981812,2780400.0,148460.0,3.1,68.87,0.04501234209379991,22.216129032258067,,80.56,,58.2,81.05,4.229475801459539
ARG,BGD,40261.528,2008,10.6031516517771,2780400.0,148460.0,3.14,68.6,0.0457725947521866,21.84713375796178,,87.73,,71.68,87.42,4.3714679290509215
ARG,BGD,14093.749,2011,9.553486644731649,2780400.0,148460.0,4.11,74.15,0.05542818610923803,18.041362530413625,,111.4,,123.7,107.86,4.749346684653762
ARG,BGD,53801.628,2012,10.893059005915093,2780400.0,148460.0,4.54,81.86,0.055460542389445394,18.030837004405285,,118.32,,151.31,116.67,4.889340074649622
ARG,BGD,77724.074,2013,11.260920321057336,2780400.0,148460.0,5.46,78.1,0.06991037131882202,14.304029304029303,,127.23,,187.54,125.04,5.031312921052351
ARG,BGD,83019.049,2014,11.326825366470352,2780400.0,147630.0,8.08,77.64,0.10407006697578568,9.608910891089108,,136.13,,263.09,132.12,5.22810338974233
ARG,BGD,23430.935,2015,10.0618124368089,2780400.0,147630.0,9.23,77.95,0.11840923669018602,8.445287107258938,,144.56,,333.02,139.88,5.374493730216074
ARG,BLX,4605.126,1996,8.434925309878604,2780400.0,,1.0,,inf,,,,,,,
ARG,BLX,2444.837,1997,7.801733733019985,2780400.0,,1.0,,inf,,,,,,,
ARG,BLX,1420.084,1998,7.2584713037753,2780400.0,,1.0,,inf,,,,,,,
ARG,BOL,0.86,1998,-0.15082288973458366,2780400.0,1098580.0,1.0,5.51,0.18148820326678766,5.51,,58.61,,,,
ARG,BOL,3.833,1999,1.343647786398418,2780400.0,1098580.0,1.0,5.81,0.17211703958691912,5.81,,59.87,,,,
ARG,BOL,0.847,2000,-0.1660545843300827,2780400.0,1098580.0,1.0,6.18,0.16181229773462785,6.18,,62.63,,,,
ARG,BOL,0.009,2004,-4.710530701645918,2780400.0,1098580.0,2.92,7.94,0.36775818639798485,2.719178082191781,,69.3,,40.35,,
ARG,BOL,178.148,2005,5.182614665494301,2780400.0,1098580.0,2.9,8.07,0.35935563816604704,2.7827586206896555,,73.04,,44.51,,
ARG,BOL,354.221,2006,5.869921012128787,2780400.0,1098580.0,3.05,8.01,0.3807740324594257,2.6262295081967215,,76.17,,50.63,,
ARG,BOL,555.205,2007,6.319337414915732,2780400.0,1098580.0,3.1,7.85,0.39490445859872614,2.532258064516129,,82.8,,58.2,,
ARG,BOL,1819.01,2008,7.506047676029124,2780400.0,1098580.0,3.14,7.24,0.43370165745856354,2.305732484076433,,94.4,,71.68,,
ARG,BOL,982.613,2009,6.890215349852607,2780400.0,1098580.0,3.71,7.02,0.5284900284900285,1.8921832884097034,,97.56,,82.7,,
ARG,BOL,2388.918,2010,7.7785958227517975,2780400.0,1098580.0,3.9,7.02,0.5555555555555556,1.7999999999999998,,100.0,,100.0,,
ARG,BOL,6476.842,2011,8.775988324875806,2780400.0,1098580.0,4.11,6.94,0.5922190201729107,1.6885644768856447,,109.88,,123.7,,
ARG,BOL,6455.658,2012,8.77271223456892,2780400.0,1098580.0,4.54,6.91,0.6570188133140377,1.5220264317180616,,114.85,,151.31,,
ARG,BOL,6689.28,2013,8.808261524012083,2780400.0,1098580.0,5.46,6.91,0.7901591895803184,1.2655677655677655,,121.43,,187.54,,
ARG,BOL,3865.055,2014,8.25973119119194,2780400.0,1098580.0,8.08,6.91,1.1693198263386397,0.8551980198019802,,128.44,,263.09,,
ARG,BOL,5234.875,2015,8.563098245273618,2780400.0,1098580.0,9.23,6.91,1.3357452966714907,0.7486457204767064,,133.65,,333.02,,
ARG,BOL,4524.498,2016,8.417261910753297,2780400.0,1098580.0,14.76,6.91,2.136034732272069,0.46815718157181574,,138.49,,469.96,,
ARG,BOL,5164.741,2017,8.549610235088295,2780400.0,1098580.0,16.56,6.91,2.3965267727930533,0.4172705314009662,,142.4,,592.18,,
ARG,BOL,1188.313,2018,7.080289933234456,2780400.0,1098580.0,28.09,6.91,4.065123010130246,0.24599501601993592,,145.64,,841.09,,
ARG,BOL,1950.244,2019,7.57570977193504,2780400.0,1098580.0,48.15,6.91,6.968162083936324,0.1435098650051921,,148.32,,1254.87,,
ARG,BOL,2464.904,2020,7.809908140485139,2780400.0,1098580.0,70.54,6.91,10.208393632416788,0.09795860504678196,,149.71,,1757.79,,
ARG,BOL,2106.294,2021,7.6526852840901896,,,94.99,6.91,13.746743849493487,0.07274449942099169,,150.82,,2709.67,,
ARG,BRA,0.569,1998,-0.5638748448558062,2780400.0,8515770.0,1.0,1.16,0.8620689655172414,1.16,,46.8,,,38.84,
ARG,BRA,25.8,1999,3.250374491927572,2780400.0,8515770.0,1.0,1.81,0.5524861878453039,1.81,,49.07,,,41.95,
ARG,BRA,176.053,2000,5.170785086069334,2780400.0,8515770.0,1.0,1.83,0.5464480874316939,1.83,,52.53,,,44.3,
ARG,BRA,0.06,2001,-2.8134107167600364,2780400.0,8515770.0,1.0,2.35,0.425531914893617,2.35,,56.12,,,47.94,
ARG,BRA,0.441,2002,-0.818710403535291,2780400.0,8515770.0,3.06,2.92,1.047945205479452,0.9542483660130718,,60.87,,,52.64,
ARG,BRA,0.462,2003,-0.7721903879003982,2780400.0,8515770.0,2.9,3.08,0.9415584415584415,1.0620689655172415,,69.82,,,60.06,
ARG,BRA,0.396,2004,-0.9263410677276565,2780400.0,8515770.0,2.92,2.93,0.9965870307167235,1.0034246575342467,,74.43,,40.35,64.71,3.933753571892566
ARG,BRA,14.932,2005,2.7035065610523374,2780400.0,8515770.0,2.9,2.43,1.1934156378600822,0.8379310344827587,,79.54,,44.51,69.52,4.01866418199245
ARG,BRA,0.329,2006,-1.1116975282167652,2780400.0,8515770.0,3.05,2.18,1.3990825688073392,0.7147540983606558,,82.87,,50.63,74.23,4.115856333555637
ARG,BRA,120.114,2007,4.788441291817634,2780400.0,8515770.0,3.1,1.95,1.5897435897435899,0.6290322580645161,,85.89,,58.2,79.01,4.216729890736017
ARG,BRA,1986.194,2008,7.593975523620873,2780400.0,8515770.0,3.14,1.83,1.715846994535519,0.5828025477707006,,90.77,,71.68,85.95,4.362988750247767
ARG,BRA,152.967,2009,5.030222211854296,2780400.0,8515770.0,3.71,2.0,1.855,0.5390835579514824,,95.2,,82.7,92.23,4.469752529638637
ARG,BRA,190.183,2010,5.2479867665162745,2780400.0,8515770.0,3.9,1.76,2.215909090909091,0.4512820512820513,,100.0,,100.0,100.0,4.605170185988092
ARG,BRA,54.04,2011,3.989724513091998,2780400.0,8515770.0,4.11,1.67,2.4610778443113777,0.4063260340632603,,106.64,,123.7,108.32,4.751474544281203
ARG,BRA,107.222,2012,4.674901451461759,2780400.0,8515770.0,4.54,1.95,2.3282051282051284,0.42951541850220265,,112.4,,151.31,116.92,4.890410326353262
ARG,BRA,6.784,2013,1.9145668984896018,2780400.0,8515770.0,5.46,2.16,2.5277777777777777,0.39560439560439564,,119.37,,187.54,125.7,5.03394513579384
ARG,BRA,51.402,2014,3.939677082209962,2780400.0,8515770.0,8.08,2.35,3.4382978723404256,0.2908415841584158,,126.93,,263.09,135.56,5.240955262850461
ARG,BRA,555.311,2015,6.319528317163555,2780400.0,8515770.0,9.23,3.33,2.771771771771772,0.3607800650054171,,138.39,,333.02,145.82,5.395287766307628
ARG,BRA,530.281,2016,6.2734070547250536,2780400.0,8515770.0,14.76,3.49,4.229226361031518,0.236449864498645,,150.48,,469.96,157.63,5.606449049668911
ARG,BRA,87.286,2017,4.469190083433347,2780400.0,8515770.0,16.56,3.19,5.191222570532915,0.19263285024154592,,155.67,,592.18,163.42,5.740067108339778
ARG,BRA,7.15,2018,1.9671123567059163,2780400.0,8515770.0,28.09,3.65,7.695890410958905,0.12993948024207902,,161.37,,841.09,170.76,5.937478865797376
ARG,BRA,12.22,2019,2.503073953743449,2780400.0,8515770.0,48.15,3.94,12.220812182741117,0.0818276220145379,,167.4,,1254.87,177.98,6.158229222485932
ARG,BRA,928.722,2020,6.833809447529055,2780400.0,8515770.0,70.54,5.16,13.670542635658915,0.07314998582364615,,172.77,,1757.79,189.5,6.35810082085375
ARG,BRA,934.312,2021,6.839810429556737,,,94.99,5.39,17.623376623376622,0.056742815033161385,,187.12,,2709.67,211.07,6.628385983626922
ARG,CAN,155.139,1999,5.044321489251053,2780400.0,9879750.0,1.0,1.49,0.6711409395973155,1.49,,79.72,,,,
ARG,CAN,40.972,2001,3.712888906574288,2780400.0,9879750.0,1.0,1.55,0.6451612903225806,1.55,,83.96,,,,
ARG,CAN,7.688,2002,2.0396606716679915,2780400.0,9879750.0,3.06,1.57,1.9490445859872612,0.5130718954248367,,85.85,,,,
ARG,CAN,44.894,2003,3.8043041555293535,2780400.0,9879750.0,2.9,1.4,2.0714285714285716,0.48275862068965514,,88.22,,,,
ARG,CAN,155.673,2004,5.047757653398006,2780400.0,9879750.0,2.92,1.3,2.246153846153846,0.4452054794520548,,89.86,,40.35,,
ARG,CAN,274.83,2005,5.616152724695227,2780400.0,9879750.0,2.9,1.21,2.396694214876033,0.41724137931034483,,91.85,,44.51,,
ARG,CAN,34.923,2006,3.5531456379342137,2780400.0,9879750.0,3.05,1.13,2.6991150442477876,0.3704918032786885,,93.69,,50.63,,
ARG,CAN,183.3,2007,5.21112415484566,2780400.0,9879750.0,3.1,1.07,2.897196261682243,0.34516129032258064,,95.69,,58.2,,
ARG,CAN,1766.769,2008,7.476907733722845,2780400.0,9879750.0,3.14,1.07,2.9345794392523366,0.34076433121019106,,97.96,,71.68,,
ARG,CAN,105.583,2009,4.659497373464225,2780400.0,9879750.0,3.71,1.14,3.254385964912281,0.307277628032345,,98.25,,82.7,,
ARG,CAN,510.615,2010,6.2356158815791725,2780400.0,9879750.0,3.9,1.03,3.786407766990291,0.2641025641025641,,100.0,,100.0,,
ARG,CAN,22.384,2011,3.1083464179231255,2780400.0,9879750.0,4.11,0.99,4.151515151515152,0.2408759124087591,,102.91,,123.7,,
ARG,CAN,509.153,2012,6.232748560773546,2780400.0,9879750.0,4.54,1.0,4.54,0.22026431718061673,,104.47,,151.31,,
ARG,CAN,546.156,2013,6.302904649222065,2780400.0,9879750.0,5.46,1.03,5.300970873786407,0.18864468864468864,,105.45,,187.54,,
ARG,CAN,669.821,2014,6.5070105125112,2780400.0,9879750.0,8.08,1.1,7.345454545454545,0.13613861386138615,,107.46,,263.09,,
ARG,CAN,262.348,2015,5.569671866699813,2780400.0,9879750.0,9.23,1.28,7.2109375,0.13867822318526543,,108.67,,333.02,,
ARG,CAN,188.44,2016,5.23877965383184,2780400.0,9879750.0,14.76,1.33,11.097744360902254,0.09010840108401084,,110.22,,469.96,,
ARG,CAN,61.505,2017,4.119118472320748,2780400.0,9879750.0,16.56,1.3,12.738461538461538,0.07850241545893721,,111.98,,592.18,,
ARG,CAN,4181.804,2021,8.338498011362763,,,94.99,1.25,75.99199999999999,0.013159279924202549,,121.59,,2709.67,,
ARG,CHE,31.609,2000,3.453441890168744,2780400.0,41290.0,1.0,1.69,0.591715976331361,1.69,,91.75,,,90.67,
ARG,CHE,102.183,2001,4.6267653234246815,2780400.0,41290.0,1.0,1.69,0.591715976331361,1.69,,92.66,,,91.55,
ARG,CHE,67.834,2002,4.2170635441760735,2780400.0,41290.0,3.06,1.56,1.9615384615384615,0.5098039215686274,,93.25,,,91.33,
ARG,CHE,107.739,2003,4.679711635605452,2780400.0,41290.0,2.9,1.35,2.148148148148148,0.4655172413793104,,93.85,,,92.4,
ARG,CHE,51.459,2004,3.940785374095798,2780400.0,41290.0,2.92,1.24,2.3548387096774195,0.4246575342465754,,94.6,,40.35,92.68,4.113372047140066
ARG,CHE,104.766,2005,4.651729291768046,2780400.0,41290.0,2.9,1.25,2.32,0.4310344827586207,,95.71,,44.51,93.53,4.166998061737111
ARG,CHL,1.07,1996,0.06765864847381486,2780400.0,756096.0,1.0,412.27,0.0024255948771436196,412.27,,61.54,,,52.23,
ARG,CHL,4185.024,1997,8.339267717674158,2780400.0,756096.0,1.0,419.3,0.0023849272597185785,419.3,,65.32,,,53.97,
ARG,CHL,8159.744,1998,9.006968074917005,2780400.0,756096.0,1.0,460.29,0.002172543396554346,460.29,,68.66,,,54.39,
ARG,CHL,9397.21,1999,9.148168115691092,2780400.0,756096.0,1.0,508.78,0.001965486064703801,508.78,,70.95,,,55.58,
ARG,CHL,8955.104,2000,9.099978928051048,2780400.0,756096.0,1.0,539.59,0.001853258955873904,539.59,,73.67,,,58.12,
ARG,CHL,16916.602,2001,9.73605078556852,2780400.0,756096.0,1.0,634.94,0.001574951963965099,634.94,,76.3,,,60.6,
ARG,CHL,20671.13,2002,9.936493319783379,2780400.0,756096.0,3.06,688.94,0.004441605945365344,225.14379084967322,,78.2,,,62.63,
ARG,CHL,18460.729,2003,9.823400998068001,2780400.0,756096.0,2.9,691.4,0.004194388197859416,238.41379310344828,,80.4,,,65.32,
ARG,CHL,24141.369,2004,10.091682203896879,2780400.0,756096.0,2.92,609.53,0.004790576345708989,208.7431506849315,,81.25,,40.35,69.91,3.9724000476199257
ARG,CHL,43359.303,2005,10.677276561261081,2780400.0,756096.0,2.9,559.77,0.005180699215749326,193.0241379310345,,83.73,,44.51,74.89,4.05586712664452
ARG,CHL,44007.937,2006,10.69212528299637,2780400.0,756096.0,3.05,530.28,0.005751678358603002,173.8622950819672,,86.57,,50.63,84.13,4.178453753772271
ARG,CHL,65060.63,2007,11.083074883349656,2780400.0,756096.0,3.1,522.46,0.00593346859089691,168.53548387096774,,90.38,,58.2,88.42,4.272991771567744
ARG,CHL,39109.998,2008,10.574133416611742,2780400.0,756096.0,3.14,522.46,0.006010029475940742,166.38853503184714,,98.26,,71.68,88.69,4.378679456027518
ARG,CHL,5518.256,2009,8.615817147321957,2780400.0,756096.0,3.71,560.86,0.006614841493420818,151.17520215633425,,98.61,,82.7,91.86,4.467742640463646
ARG,CHL,20061.822,2010,9.906573884908806,2780400.0,756096.0,3.9,510.25,0.007643312101910828,130.83333333333334,,100.0,,100.0,100.0,4.605170185988092
ARG,CHL,55004.989,2011,10.915179169191696,2780400.0,756096.0,4.11,483.67,0.008497529307172246,117.68126520681264,,103.34,,123.7,103.26,4.727554679424973
ARG,CHL,8449.178,2012,9.041824437512888,2780400.0,756096.0,4.54,486.47,0.009332538491582214,107.15198237885463,,106.45,,151.31,104.05,4.8321011326515615
ARG,CHL,1773.382,2013,7.480643736900034,2780400.0,756096.0,5.46,495.27,0.011024289781331395,90.70879120879121,,108.35,,187.54,106.4,4.9505988664495115
ARG,CHL,31325.858,2014,10.35219916965253,2780400.0,756096.0,8.08,570.35,0.01416673972122381,70.58787128712872,,113.47,,263.09,112.63,5.148302144510838
ARG,CHL,34417.005,2015,10.446306052615325,2780400.0,756096.0,9.23,654.12,0.014110560753378586,70.86890574214517,,118.4,,333.02,118.21,5.290332625999628
ARG,CHL,31583.405,2016,10.360387103403276,2780400.0,756700.0,14.76,676.96,0.021803356180571967,45.864498644986455,,122.88,,469.96,123.6,5.484849064861481
ARG,CHL,31416.412,2017,10.355085710508497,2780400.0,756700.0,16.56,648.83,0.02552286423254165,39.180555555555564,,125.57,,592.18,129.57,5.624015959181857
ARG,CHL,30622.828,2018,10.329501022882933,2780400.0,756700.0,28.09,641.28,0.04380301896207585,22.829476682093272,,128.62,,841.09,131.63,5.807346813071153
ARG,CHL,19559.708,2019,9.881227015052021,2780400.0,756700.0,48.15,702.9,0.06850192061459667,14.598130841121495,,131.91,,1254.87,135.01,6.020068055156152
ARG,CHL,28588.348,2020,10.260754501205476,2780400.0,756700.0,70.54,792.73,0.08898363881775637,11.238020981003686,,135.93,,1757.79,148.03,6.23461378655521
ARG,CHL,35987.085,2021,10.490915403072071,,,94.99,758.96,0.12515811109939917,7.989893673018213,,142.08,,2709.67,158.09,6.483873313174707
ARG,CHN,68129.216,1996,11.129161416289204,2780400.0,9600000.0,1.0,8.31,0.12033694344163658,8.31,,80.24,,,,
ARG,CHN,90067.4,1998,11.408313557923929,2780400.0,9600000.0,1.0,8.28,0.12077294685990339,8.28,,81.84,,,,
ARG,CHN,162129.793,1999,11.996152484790077,2780400.0,9600000.0,1.0,8.28,0.12077294685990339,8.28,,80.69,,,,
ARG,CHN,531219.224,2000,13.182930066248565,2780400.0,9600000.0,1.0,8.28,0.12077294685990339,8.28,,80.97,,,,
ARG,CHN,827964.636,2001,13.626725722310365,2780400.0,9600000.2,1.0,8.28,0.12077294685990339,8.28,,81.55,,,,
ARG,CHN,505193.37,2002,13.13269654585692,2780400.0,9600000.2,3.06,8.28,0.3695652173913044,2.705882352941176,,80.96,,,,
ARG,CHN,1226877.53,2003,14.019982906160507,2780400.0,9599999.7,2.9,8.28,0.3502415458937198,2.8551724137931034,,81.87,,,,
ARG,CHN,1153431.84,2004,13.95825226512316,2780400.0,9600000.5,2.92,8.28,0.3526570048309179,2.835616438356164,,85.0,,40.35,,
ARG,CHN,1727087.815,2005,14.36194720412792,2780400.0,9599999.8,2.9,8.19,0.3540903540903541,2.8241379310344827,,86.51,,44.51,,
ARG,CHN,1422095.979,2006,14.167642382848177,2780400.0,9600000.0,3.05,7.97,0.3826850690087829,2.6131147540983606,,87.94,,50.63,,
ARG,CHN,2662545.698,2007,14.7947932524206,2780400.0,9600000.0,3.1,7.61,0.4073587385019711,2.4548387096774196,,92.17,,58.2,,
